Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
IND029,PHAU7,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,PSARM,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,SALA3,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,STPA4,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND035,SPAI,13,,48,,45,,45,,45,,41,,,,,,,,,,,,,
IND035,GLLE3,5,,0,,16,,24,,7,,8,,,,,,,,,,,,,
IND035,ERNA10,15,,0,,0,,1,,0,,1,,,,,,,,,,,,,
IND035,DISP,0,,7,,1,,4,,4,,0,,,,,,,,,,,,,
IND035,ATTO,1,,0,,0,,0,,0,,9,,,,,,,,,,,,,
IND035,ARTRT,7,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,IVAX,0,,0,,0,,3,,0,,0,,,,,,,,,,,,,
IND035,BAHY,0,,2,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,JUBA,0,,1,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,STPA4,1,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,ANCA10,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,CHBE4,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,HEAN3,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,ROWO,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND035,TARA,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND064,ATTO,21,,8,,27,,31,,32,,,,,,,,,,,,,,,
IND064,SPAI,15,,21,,7,,4,,8,,,,,,,,,,,,,,,
IND064,HECU3,7,,5,,2,,8,,2,,,,,,,,,,,,,,,
IND064,DISP,0,,3,,2,,9,,5,,,,,,,,,,,,,,,
IND064,GLLE3,0,,0,,0,,6,,0,,,,,,,,,,,,,,,
IND064,JUBA,0,,2,,0,,0,,0,,,,,,,,,,,,,,,
IND064,TARA,0,,1,,1,,0,,0,,,,,,,,,,,,,,,
IND064,ERNA10,0,,0,,1,,0,,0,,,,,,,,,,,,,,,
IND067,ATTO,19,,18,,0,,0,,10,,18,,15,,10,,5,,,,,,,
IND067,SPAI,1,,0,,0,,0,,6,,0,,1,,6,,4,,,,,,,
IND067,MALE3,0,,0,,0,,0,,9,,0,,3,,3,,0,,,,,,,
IND067,DISP,4,,2,,0,,3,,0,,0,,1,,2,,2,,,,,,,
IND067,SUNI,2,,1,,1,,0,,0,,0,,8,,2,,0,,,,,,,
IND067,ERNA10,0,,1,,0,,1,,0,,2,,3,,0,,1,,,,,,,
IND067,ALOC2,0,,0,,2,,0,,0,,0,,0,,0,,0,,,,,,,
IND067,GLLE3,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND067,HECU3,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND067,JUBA,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND067,JUME4,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND067,TARA,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND086,SPAI,7,4,9,10,9,9,8,5,13,6,12,8,1,8,10,6,2,11,,,,,,
IND086,ERNA10,1,0,1,2,3,1,1,3,4,1,1,3,6,3,3,0,0,9,,,,,,
IND086,DISP,1,5,0,0,1,4,5,3,0,1,4,0,2,3,0,0,2,0,,,,,,
IND086,SUNI,1,2,5,0,1,1,5,7,1,0,0,1,0,0,1,3,1,0,,,,,,
IND086,ATCO,1,1,1,0,0,0,0,0,0,1,2,2,1,2,1,1,3,0,,,,,,
IND086,ATTO,0,0,0,0,1,1,3,2,0,1,0,1,1,0,2,0,1,1,,,,,,
